chara,UID,imgPath
あ,04 63 cc ca 4c 58 81,chara/1.png
い,04 45 cc ca 4c 58 81,chara/2.png
う,04 79 cd ca 4c 58 81,chara/3.png
え,04 64 cc ca 4c 58 81,chara/4.png
お,04 5b cd ca 4c 58 81,chara/5.png
か,04 78 cd ca 4c 58 81,chara/6.png
き,04 3d cd ca 4c 58 81,chara/7.png
く,04 5a cd ca 4c 58 81,chara/8.png
け,04 1f cd ca 4c 58 81,chara/9.png
こ,04 3c cd ca 4c 58 81,chara/10.png
さ,04 7f 77 d2 c7 55 81,chara/11.png
し,04 70 77 d2 c7 55 81,chara/12.png
す,04 61 77 d2 c7 55 81,chara/13.png
せ,04 52 77 d2 c7 55 81,chara/14.png
そ,04 43 77 d2 c7 55 81,chara/15.png
た,04 69 76 d2 c7 55 80,chara/16.png
ち,04 78 76 d2 c7 55 80,chara/17.png
つ,04 89 76 d2 c7 55 80,chara/18.png
て,04 9a 76 d2 c7 55 80,chara/19.png
と,04 a9 76 d2 c7 55 80,chara/20.png
な,04 5c 77 d2 c7 55 80,chara/21.png
に,04 6c 77 d2 c7 55 80,chara/22.png
ぬ,04 7b 77 d2 c7 55 80,chara/23.png
ね,04 8a 77 d2 c7 55 80,chara/24.png
の,04 99 77 d2 c7 55 80,chara/25.png
は,04 11 77 d2 c7 55 80,chara/26.png
ひ,04 20 77 d2 c7 55 80,chara/27.png
ふ,04 2f 77 d2 c7 55 80,chara/28.png
へ,04 3e 77 d2 c7 55 80,chara/29.png
ほ,04 4d 77 d2 c7 55 80,chara/30.png
ま,04 c5 cd ca 4c 58 80,chara/31.png
み,04 00 cd ca 4c 58 81,chara/32.png
む,04 e3 cd ca 4c 58 80,chara/33.png
め,04 1e cd ca 4c 58 81,chara/34.png
も,04 01 cd ca 4c 58 81,chara/35.png
や,04 a6 cd ca 4c 58 80,chara/36.png
ゆ,04 89 cd ca 4c 58 80,chara/37.png
よ,04 c4 cd ca 4c 58 80,chara/38.png
ら,04 a7 cd ca 4c 58 80,chara/39.png
り,04 e2 cd ca 4c 58 80,chara/40.png
る,04 0b 0f c2 4c 58 85,chara/41.png
れ,04 cb 0f c2 4c 58 84,chara/42.png
ろ,04 eb 0f c2 4c 58 84,chara/43.png
わ,04 ad 0f c2 4c 58 84,chara/44.png
を,04 ca 0f c2 4c 58 84,chara/45.png
ん,04 05 0e c2 4c 58 85,chara/46.png
ゃ,04 e5 0e c2 4c 58 84,chara/47.png
ゅ,04 0c 0f c2 4c 58 85,chara/48.png
ょ,04 06 0e c2 4c 58 85,chara/49.png
っ,04 ec 0f c2 4c 58 84,chara/50.png
゛,04 fa f9 c2 4c 58 80,chara/51.png
゜,04 dd f9 c2 4c 58 80,chara/52.png
ー,04 18 f9 c2 4c 58 81,chara/53.png
