chara,UID,imgPath
あ,04 ad 71 ca 4c 58 80,chara/1.png
い,04 e9 71 ca 4c 58 80,chara/2.png
う,04 cc 71 ca 4c 58 80,chara/3.png
え,04 08 71 ca 4c 58 81,chara/4.png
お,04 ea 71 ca 4c 58 80,chara/5.png
か,04 26 71 ca 4c 58 81,chara/6.png
き,04 09 71 ca 4c 58 81,chara/7.png
く,04 44 71 ca 4c 58 81,chara/8.png
け,04 27 71 ca 4c 58 81,chara/9.png
こ,04 62 71 ca 4c 58 81,chara/10.png
さ,04 f4 05 c2 4c 58 84,chara/11.png
し,04 b7 05 c2 4c 58 84,chara/12.png
す,04 d6 05 c2 4c 58 84,chara/13.png
せ,04 97 05 c2 4c 58 84,chara/14.png
そ,04 b6 05 c2 4c 58 84,chara/15.png
た,04 01 0a ca 4c 58 81,chara/16.png
ち,04 c6 0a ca 4c 58 80,chara/17.png
つ,04 e3 0a ca 4c 58 80,chara/18.png
て,04 a6 0a ca 4c 58 80,chara/19.png
と,04 c5 0a ca 4c 58 80,chara/20.png
な,04 d8 0a c2 4c 58 84,chara/21.png
に,04 f5 0a c2 4c 58 84,chara/22.png
ぬ,04 b7 0a c2 4c 58 84,chara/23.png
ね,04 d7 0a c2 4c 58 84,chara/24.png
の,04 97 0a c2 4c 58 84,chara/25.png
は,04 2b 07 c2 4c 58 85,chara/26.png
ひ,04 f6 06 c2 4c 58 84,chara/27.png
ふ,04 15 06 c2 4c 58 85,chara/28.png
へ,04 d8 06 c2 4c 58 84,chara/29.png
ほ,04 f5 06 c2 4c 58 84,chara/30.png
ま,04 0b 07 c2 4c 58 85,chara/31.png
み,04 ec 07 c2 4c 58 84,chara/32.png
む,04 2a 07 c2 4c 58 85,chara/33.png
め,04 0c 07 c2 4c 58 85,chara/34.png
も,04 16 06 c2 4c 58 85,chara/35.png
や,04 8e 07 c2 4c 58 84,chara/36.png
ゆ,04 cb 07 c2 4c 58 84,chara/37.png
よ,04 ae 07 c2 4c 58 84,chara/38.png
ら,04 eb 07 c2 4c 58 84,chara/39.png
り,04 ce 07 c2 4c 58 84,chara/40.png
る,04 79 05 c2 4c 58 84,chara/41.png
れ,04 96 05 c2 4c 58 84,chara/42.png
ろ,04 79 06 c2 4c 58 84,chara/43.png
わ,04 78 05 c2 4c 58 84,chara/44.png
を,04 97 06 c2 4c 58 84,chara/45.png
ん,04 bc 0c c2 4c 58 84,chara/46.png
ゃ,04 db 0c c2 4c 58 84,chara/47.png
ゅ,04 9e 0c c2 4c 58 84,chara/48.png
ょ,04 bb 0c c2 4c 58 84,chara/49.png
っ,04 7e 0c c2 4c 58 84,chara/50.png
゛,04 ad 07 c2 4c 58 84,chara/51.png
゜,04 6f 07 c2 4c 58 84,chara/52.png
ー,04 8d 07 c2 4c 58 84,chara/53.png
,04 8b 08 c2 4c 58 84,
,04 70 07 c2 4c 58 84,
,04 ab 08 c2 4c 58 84,
,04 8c 08 c2 4c 58 84,
,04 c9 08 c2 4c 58 84,
,04 ac 08 c2 4c 58 84,
,04 e9 08 c2 4c 58 84,
